1	2	3	4	5	6	7	8	9
-0.0199999996	0	0.899999976	0	0	0	1	0.00159999996	550
1.01999998	0	0.899999976	0	0	0	1	0.00159999996	574
1.05999994	0	0.899999976	0	0	0	1	0.00159999996	573
1.10000002	0	0.899999976	0	0	0	1	0.00159999996	572
-0.100000001	0	0.939999998	0	0	0	1	0.00159999996	577
-0.0599999987	0	0.939999998	0	0	0	1	0.00159999996	576
-0.0199999996	0	0.939999998	0	0	0	1	0.00159999996	575
1.01999998	0	0.939999998	0	0	0	1	0.00159999996	599
1.05999994	0	0.939999998	0	0	0	1	0.00159999996	598
1.10000002	0	0.939999998	0	0	0	1	0.00159999996	597
-0.100000001	0	0.980000019	0	0	0	1	0.00159999996	602
-0.0599999987	0	0.980000019	0	0	0	1	0.00159999996	601
-0.0199999996	0	0.980000019	0	0	0	1	0.00159999996	600
1.01999998	0	0.980000019	0	0	0	1	0.00159999996	624
1.05999994	0	0.980000019	0	0	0	1	0.00159999996	623
1.10000002	0	0.980000019	0	0	0	1	0.00159999996	622
-0.100000001	0	1.01999998	0	0	0	1	0.00159999996	602
-0.0599999987	0	1.01999998	0	0	0	1	0.00159999996	601
-0.0199999996	0	1.01999998	0	0	0	1	0.00159999996	600
0.0199999996	0	1.01999998	1	0	0	1	0.00159999996	600
0.0599999987	0	1.01999998	1	0	0	1	0.00159999996	601
0.100000001	0	1.01999998	1	0	0	1	0.00159999996	602
0.140000001	0	1.01999998	1	0	0	1	0.00159999996	603
0.180000007	0	1.01999998	1	0	0	1	0.00159999996	604
0.219999999	0	1.01999998	1	0	0	1	0.00159999996	605
0.25999999	0	1.01999998	1	0	0	1	0.00159999996	606
0.300000012	0	1.01999998	1	0	0	1	0.00159999996	607
0.340000004	0	1.01999998	1	0	0	1	0.00159999996	608
0.379999995	0	1.01999998	1	0	0	1	0.00159999996	609
0.419999987	0	1.01999998	1	0	0	1	0.00159999996	610
0.460000008	0	1.01999998	1	0	0	1	0.00159999996	611
0.5	0	1.01999998	1	0	0	1	0.00159999996	612
0.540000021	0	1.01999998	1	0	0	1	0.00159999996	613
0.579999983	0	1.01999998	1	0	0	1	0.00159999996	614
0.620000005	0	1.01999998	1	0	0	1	0.00159999996	615
0.660000026	0	1.01999998	1	0	0	1	0.00159999996	616
0.699999988	0	1.01999998	1	0	0	1	0.00159999996	617
0.74000001	0	1.01999998	1	0	0	1	0.00159999996	618
0.779999971	0	1.01999998	1	0	0	1	0.00159999996	619
0.819999993	0	1.01999998	1	0	0	1	0.00159999996	620
0.860000014	0	1.01999998	1	0	0	1	0.00159999996	621
0.899999976	0	1.01999998	1	0	0	1	0.00159999996	622
0.939999998	0	1.01999998	1	0	0	1	0.00159999996	623
0.980000019	0	1.01999998	1	0	0	1	0.00159999996	624
1.01999998	0	1.01999998	0	0	0	1	0.00159999996	624
1.05999994	0	1.01999998	0	0	0	1	0.00159999996	623
1.10000002	0	1.01999998	0	0	0	1	0.00159999996	622
-0.100000001	0	1.05999994	0	0	0	1	0.00159999996	577
-0.0599999987	0	1.05999994	0	0	0	1	0.00159999996	576
-0.0199999996	0	1.05999994	0	0	0	1	0.00159999996	575
0.0199999996	0	1.05999994	1	0	0	1	0.00159999996	575
0.0599999987	0	1.05999994	1	0	0	1	0.00159999996	576
0.100000001	0	1.05999994	1	0	0	1	0.00159999996	577
0.140000001	0	1.05999994	1	0	0	1	0.00159999996	578
0.180000007	0	1.05999994	1	0	0	1	0.00159999996	579
0.219999999	0	1.05999994	1	0	0	1	0.00159999996	580
0.25999999	0	1.05999994	1	0	0	1	0.00159999996	581
0.300000012	0	1.05999994	1	0	0	1	0.00159999996	582
0.340000004	0	1.05999994	1	0	0	1	0.00159999996	583
0.379999995	0	1.05999994	1	0	0	1	0.00159999996	584
0.419999987	0	1.05999994	1	0	0	1	0.00159999996	585
0.460000008	0	1.05999994	1	0	0	1	0.00159999996	586
0.5	0	1.05999994	1	0	0	1	0.00159999996	587
0.540000021	0	1.05999994	1	0	0	1	0.00159999996	588
0.579999983	0	1.05999994	1	0	0	1	0.00159999996	589
0.620000005	0	1.05999994	1	0	0	1	0.00159999996	590
0.660000026	0	1.05999994	1	0	0	1	0.00159999996	591
0.699999988	0	1.05999994	1	0	0	1	0.00159999996	592
0.74000001	0	1.05999994	1	0	0	1	0.00159999996	593
0.779999971	0	1.05999994	1	0	0	1	0.00159999996	594
0.819999993	0	1.05999994	1	0	0	1	0.00159999996	595
0.860000014	0	1.05999994	1	0	0	1	0.00159999996	596
0.899999976	0	1.05999994	1	0	0	1	0.00159999996	597
